,use_idf,sublinear_tf,stop_words,norm,ngram_range,max_features,lowercase,binary,class_weight,C,Mean test score,Standard deviation
1,False,True,,l2,"(1, 3)",50000,False,True,,4,0.682,0.011
10,False,True,,l2,"(1, 1)",50000,True,True,,6,0.672,0.019
7,False,True,english,l2,"(1, 2)",,False,True,,6,0.664,0.017
5,False,False,english,l2,"(1, 3)",50000,False,True,,4,0.662,0.019
11,True,False,english,l2,"(1, 1)",10000,False,True,,6,0.654,0.019
0,False,True,english,l2,"(1, 3)",20000,True,False,,0.5,0.65,0.012
8,False,True,,l2,"(1, 2)",,False,True,balanced,3,0.644,0.019
2,False,False,,l2,"(1, 3)",20000,True,False,balanced,8,0.642,0.025
15,True,True,english,l2,"(1, 3)",,True,True,balanced,8,0.632,0.016
6,True,True,,l2,"(1, 1)",50000,True,True,balanced,6,0.632,0.024
13,False,True,english,l2,"(1, 2)",10000,True,True,balanced,6,0.618,0.023
4,False,True,english,l1,"(1, 2)",20000,True,True,,7,0.615,0.008
12,True,True,english,l2,"(1, 1)",,True,True,balanced,6,0.612,0.017
19,False,False,,l2,"(1, 3)",,False,True,balanced,0.5,0.601,0.017
17,True,True,english,l1,"(1, 3)",10000,False,True,,3,0.592,0.001
3,True,True,english,l1,"(1, 1)",,False,False,,0.5,0.59,0.001
18,True,True,,l1,"(1, 3)",,False,False,,2,0.59,0.0
9,True,True,english,l1,"(1, 3)",50000,False,False,,0.5,0.59,0.0
16,True,False,,l1,"(1, 3)",50000,False,False,,6,0.59,0.001
14,True,True,english,l1,"(1, 2)",10000,False,True,balanced,4,0.552,0.023
