,use_idf,sublinear_tf,stop_words,norm,ngram_range,max_features,lowercase,binary,class_weight,C,Mean test score,Standard deviation
1,False,True,,l2,"(1, 3)",50000,False,True,,4,0.63,0.005
0,False,True,english,l2,"(1, 3)",20000,True,False,,0.5,0.619,0.007
5,False,False,english,l2,"(1, 3)",50000,False,True,,4,0.617,0.003
10,False,True,,l2,"(1, 1)",50000,True,True,,6,0.614,0.004
7,False,True,english,l2,"(1, 2)",,False,True,,6,0.612,0.002
8,False,True,,l2,"(1, 2)",,False,True,balanced,3,0.606,0.004
11,True,False,english,l2,"(1, 1)",10000,False,True,,6,0.599,0.007
2,False,False,,l2,"(1, 3)",20000,True,False,balanced,8,0.589,0.003
6,True,True,,l2,"(1, 1)",50000,True,True,balanced,6,0.583,0.011
13,False,True,english,l2,"(1, 2)",10000,True,True,balanced,6,0.577,0.011
19,False,False,,l2,"(1, 3)",,False,True,balanced,0.5,0.577,0.007
15,True,True,english,l2,"(1, 3)",,True,True,balanced,8,0.575,0.007
12,True,True,english,l2,"(1, 1)",,True,True,balanced,6,0.573,0.009
4,False,True,english,l1,"(1, 2)",20000,True,True,,7,0.561,0.003
14,True,True,english,l1,"(1, 2)",10000,False,True,balanced,4,0.537,0.009
17,True,True,english,l1,"(1, 3)",10000,False,True,,3,0.527,0.003
16,True,False,,l1,"(1, 3)",50000,False,False,,6,0.509,0.002
3,True,True,english,l1,"(1, 1)",,False,False,,0.5,0.501,0.0
18,True,True,,l1,"(1, 3)",,False,False,,2,0.501,0.0
9,True,True,english,l1,"(1, 3)",50000,False,False,,0.5,0.501,0.0
