,use_idf,sublinear_tf,stop_words,norm,ngram_range,max_features,lowercase,binary,class_weight,C,Mean test score,Standard deviation
1,False,True,,l2,"(1, 3)",50000,False,True,,4,0.618,0.022
7,False,True,english,l2,"(1, 2)",,False,True,,6,0.603,0.016
5,False,False,english,l2,"(1, 3)",50000,False,True,,4,0.602,0.023
0,False,True,english,l2,"(1, 3)",20000,True,False,,0.5,0.6,0.023
10,False,True,,l2,"(1, 1)",50000,True,True,,6,0.6,0.033
2,False,False,,l2,"(1, 3)",20000,True,False,balanced,8,0.59,0.016
11,True,False,english,l2,"(1, 1)",10000,False,True,,6,0.586,0.027
8,False,True,,l2,"(1, 2)",,False,True,balanced,3,0.577,0.022
15,True,True,english,l2,"(1, 3)",,True,True,balanced,8,0.576,0.024
6,True,True,,l2,"(1, 1)",50000,True,True,balanced,6,0.571,0.021
13,False,True,english,l2,"(1, 2)",10000,True,True,balanced,6,0.56,0.024
12,True,True,english,l2,"(1, 1)",,True,True,balanced,6,0.553,0.032
19,False,False,,l2,"(1, 3)",,False,True,balanced,0.5,0.545,0.027
4,False,True,english,l1,"(1, 2)",20000,True,True,,7,0.536,0.012
14,True,True,english,l1,"(1, 2)",10000,False,True,balanced,4,0.536,0.032
17,True,True,english,l1,"(1, 3)",10000,False,True,,3,0.534,0.002
3,True,True,english,l1,"(1, 1)",,False,False,,0.5,0.533,0.002
16,True,False,,l1,"(1, 3)",50000,False,False,,6,0.533,0.002
18,True,True,,l1,"(1, 3)",,False,False,,2,0.533,0.002
9,True,True,english,l1,"(1, 3)",50000,False,False,,0.5,0.533,0.002
