,use_idf,sublinear_tf,stop_words,norm,ngram_range,max_features,lowercase,binary,class_weight,C,Mean test score,Standard deviation
10,False,True,,l2,"(1, 1)",50000,True,True,,6,0.708,0.014
5,False,False,english,l2,"(1, 3)",50000,False,True,,4,0.7,0.004
1,False,True,,l2,"(1, 3)",50000,False,True,,4,0.7,0.013
0,False,True,english,l2,"(1, 3)",20000,True,False,,0.5,0.7,0.007
7,False,True,english,l2,"(1, 2)",,False,True,,6,0.699,0.009
4,False,True,english,l1,"(1, 2)",20000,True,True,,7,0.697,0.004
16,True,False,,l1,"(1, 3)",50000,False,False,,6,0.696,0.001
18,True,True,,l1,"(1, 3)",,False,False,,2,0.695,0.001
9,True,True,english,l1,"(1, 3)",50000,False,False,,0.5,0.695,0.001
3,True,True,english,l1,"(1, 1)",,False,False,,0.5,0.695,0.001
17,True,True,english,l1,"(1, 3)",10000,False,True,,3,0.693,0.002
11,True,False,english,l2,"(1, 1)",10000,False,True,,6,0.688,0.009
15,True,True,english,l2,"(1, 3)",,True,True,balanced,8,0.643,0.004
2,False,False,,l2,"(1, 3)",20000,True,False,balanced,8,0.633,0.012
6,True,True,,l2,"(1, 1)",50000,True,True,balanced,6,0.627,0.008
8,False,True,,l2,"(1, 2)",,False,True,balanced,3,0.62,0.02
13,False,True,english,l2,"(1, 2)",10000,True,True,balanced,6,0.617,0.008
12,True,True,english,l2,"(1, 1)",,True,True,balanced,6,0.601,0.014
14,True,True,english,l1,"(1, 2)",10000,False,True,balanced,4,0.584,0.014
19,False,False,,l2,"(1, 3)",,False,True,balanced,0.5,0.564,0.019
