,use_idf,sublinear_tf,stop_words,norm,ngram_range,max_features,lowercase,binary,class_weight,C,Mean test score,Standard deviation
0,False,True,english,l2,"(1, 3)",20000,True,False,,0.5,0.581,0.017
1,False,True,,l2,"(1, 3)",50000,False,True,,4,0.574,0.022
16,True,False,,l1,"(1, 3)",50000,False,False,,6,0.558,0.002
18,True,True,,l1,"(1, 3)",,False,False,,2,0.558,0.002
9,True,True,english,l1,"(1, 3)",50000,False,False,,0.5,0.558,0.002
3,True,True,english,l1,"(1, 1)",,False,False,,0.5,0.558,0.002
17,True,True,english,l1,"(1, 3)",10000,False,True,,3,0.555,0.005
10,False,True,,l2,"(1, 1)",50000,True,True,,6,0.554,0.03
5,False,False,english,l2,"(1, 3)",50000,False,True,,4,0.551,0.019
7,False,True,english,l2,"(1, 2)",,False,True,,6,0.548,0.035
11,True,False,english,l2,"(1, 1)",10000,False,True,,6,0.541,0.026
4,False,True,english,l1,"(1, 2)",20000,True,True,,7,0.539,0.015
2,False,False,,l2,"(1, 3)",20000,True,False,balanced,8,0.53,0.027
8,False,True,,l2,"(1, 2)",,False,True,balanced,3,0.517,0.024
6,True,True,,l2,"(1, 1)",50000,True,True,balanced,6,0.516,0.013
15,True,True,english,l2,"(1, 3)",,True,True,balanced,8,0.513,0.018
13,False,True,english,l2,"(1, 2)",10000,True,True,balanced,6,0.493,0.032
19,False,False,,l2,"(1, 3)",,False,True,balanced,0.5,0.492,0.02
12,True,True,english,l2,"(1, 1)",,True,True,balanced,6,0.48,0.023
14,True,True,english,l1,"(1, 2)",10000,False,True,balanced,4,0.437,0.046
